충전소ID,충전기ID,2023년 01월 충전횟수,2023년 01월 충전량,2023년 02월 충전횟수,2023년 02월 충전량,2023년 03월 충전횟수,2023년 03월 충전량,2023년 04월 충전횟수,2023년 04월 충전량,2023년 05월 충전횟수,2023년 05월 충전량,2023년 06월 충전횟수,2023년 06월 충전량,2023년 07월 충전횟수,2023년 07월 충전량,2023년 08월 충전횟수,2023년 08월 충전량,2023년 09월 충전횟수,2023년 09월 충전량
ME174003,1,276,5345.11,261,5006.84,200,3731.34,156,2842.94,180,3396.71,181,3549.98,175,3350.6,168,3300.8,136,2719.79
ME174004,1,261,4632.49,211,3889.85,143,2429.33,190,3669.8,163,3321.83,327,5978.3,215,3999.03,142,2204.08,106,1879.46
ME174005,1,232,4116.96,136,2698.49,111,2034.1,98,1861.75,94,1860.13,79,1599.11,107,2250.52,85,1723.26,51,990.06
ME174006,1,125,2582.9,77,1554.46,69,1483.43,57,1165.39,86,2022.78,84,2023.46,105,2509.64,90,2118.53,68,1501.79
ME174007,1,304,5860.54,275,5304.65,199,4134.55,216,4582.25,184,4042.56,173,3630.22,192,3698.74,201,3497.46,179,2437.77
ME174008,1,150,2844.93,133,2390.19,106,1942.63,95,1526.13,74,1120.78,70,1209.75,87,1466.64,77,1329.03,68,1077.81
ME174009,1,111,1813.84,111,2045.77,95,1638.6,77,1315.72,115,2111.82,75,1533.75,75,1373.94,87,1717.58,83,1773.8
ME174011,1,291,5184.53,229,4023.54,161,2947.24,159,3098.57,164,2912.87,143,2420.64,152,2649.93,162,2840.5,131,2144.28
ME174012,1,195,3347.86,144,2182.15,148,2111.35,106,1439.88,112,1675.07,100,1496.12,81,1145.68,42,621.09,75,1068.84
ME174013,1,190,2543.44,154,2073.73,128,1660.36,98,1397.32,102,1328.24,106,1432.65,111,1541.38,125,2032.53,95,1513.63
ME174014,1,235,4679.56,177,3369.09,183,3093.8,107,1927.95,141,2470.78,164,3249.78,190,3531.59,136,2707.97,155,3056.45
ME174014,2,148,3219.47,81,1746.75,73,1437.44,77,1527.11,47,1037,38,916.56,69,1654.86,62,1367.93,57,1309.62
ME174015,1,208,3580.18,122,2224.29,116,2157.96,56,1224.17,92,1758.37,100,1899.35,111,2131.92,96,2010.67,114,2292.53
ME174016,1,285,4303.98,231,3310.42,184,3010.94,129,2063.34,82,1222.06,112,1769.04,98,1239.21,57,1030.52,74,1205.93
ME174018,1,28,427.61,30,443.4,23,318.37,26,539.17,32,568.4,35,573.01,49,826.38,46,868.93,15,210.15
ME174020,1,268,3810.57,193,2998.88,148,2743.48,119,2036,132,2316.8,150,2504.02,134,2272.94,128,2015.04,90,1498.15
ME174020,2,283,4627.62,227,3735.32,236,4461.63,169,2904.98,159,3021.07,161,3086.76,179,3196.27,180,3254.56,171,3201.45
ME174021,1,305,5149.67,250,4109.7,218,3479.72,155,2615.2,197,3232.24,214,3567.01,208,3236.94,192,2659.54,179,2374.49
ME174022,1,260,4201.34,193,3347.26,127,2157.71,113,1903.9,144,2738.58,148,2704.01,148,2442.24,149,2572.14,42,696.07
ME174023,1,254,3577.16,141,2150.6,121,1925.41,54,838.63,11,189.16,119,1903.55,164,2504.38,199,2564.01,203,2393.02
ME174024,1,125,2110.57,109,1741,94,1572.41,81,1213.37,79,1253.32,89,1394.29,105,1799.64,92,1498.16,88,1544.55
ME174025,1,278,4223.06,181,2668.97,170,2442.27,194,2897.51,187,2633.33,179,2565.92,148,2378.41,173,2586.4,142,1864.01
ME174025,2,261,3916.21,193,2669.76,194,2636.9,170,2498.63,177,2611.57,152,2260.85,165,2591.72,168,2457.28,155,2327.29
ME174026,1,147,1840.34,91,937.96,80,864.04,77,955.07,61,791.24,55,713.48,76,1005.24,90,1165.75,52,682.33
ME174027,1,72,1205.64,78,1207.74,77,1219.66,55,915.86,53,798.99,34,519.1,61,865.55,85,1448.05,67,1135.37
ME174028,1,308,4289.49,285,4095.46,217,2940.17,203,2759.25,200,2812.2,150,2085.24,168,2413.66,157,2149.17,89,1187.08
ME174028,2,217,4023.5,160,2782.6,142,2616.51,115,1975.43,83,1471.16,104,2078.58,114,2204.11,119,2101.7,125,2188.89
ME174028,3,359,7262.68,301,6115.64,262,5576.9,224,4584.15,168,3381.24,128,2667.93,135,2568.46,132,2656.55,123,2349.4
ME174029,1,132,2473.33,155,3133.59,148,3056.26,140,2675.53,122,2039.6,133,2505.44,137,2586.17,132,2404.76,144,1947.06
ME174031,1,100,1444.56,100,1643.44,87,1460,80,1321.71,72,1308.42,80,1361.96,87,1735.12,88,1774.55,73,1397.97
ME174032,1,194,3683.5,134,2668.86,126,2401.88,91,1663.58,118,2223.23,115,2143.22,105,1912.34,122,2252.58,104,1684.84
ME174034,1,261,5586.5,191,3961.63,146,2893.86,168,3692.31,179,4000.49,188,4313.01,231,5311.95,222,5229.91,162,3652.11
ME174035,1,137,2539.17,98,1696.15,90,1701.64,69,1320.96,75,1338.42,65,1283.95,62,1296.82,0,0,0,0
ME174036,1,88,1982.52,71,1332.34,70,1542.19,49,976.06,61,1224.1,59,1271.57,62,1388.26,0,0,0,0
ME174037,1,164,3122.29,144,2269.73,142,2273.76,127,2224.62,128,2306.43,128,2349.55,146,2782.56,145,2901.17,102,1939.16
ME174038,1,277,4357.85,210,3247.15,191,2901.4,200,3309.62,189,2856.96,215,3788.57,139,2271.37,195,3296.37,182,3418.71
ME174039,1,78,1349.82,59,1021.19,43,651,35,618.7,41,700.69,42,789.08,45,767.89,56,1160.15,36,836.16
